model,adj_r2,significant_vars,formula
weather_to_Severity_WindSpeed(mph)_Temperature(F),0.0007063229740406074,4,"Severity ~ (Q(""WindSpeed(mph)"") + Q(""Temperature(F)""))**2"
weather_to_Severity_WindSpeed(mph)_WindChill(F),0.0020718742804715085,4,"Severity ~ (Q(""WindSpeed(mph)"") + Q(""WindChill(F)""))**2"
weather_to_Severity_WindSpeed(mph)_Humidity(%),0.0007660478532880433,2,"Severity ~ (Q(""WindSpeed(mph)"") + Q(""Humidity(%)""))**2"
weather_to_Severity_WindSpeed(mph)_Pressure(in),0.0002975230364704595,2,"Severity ~ (Q(""WindSpeed(mph)"") + Q(""Pressure(in)""))**2"
weather_to_Severity_WindSpeed(mph)_Precipitation(in),0.00015162236524168815,2,"Severity ~ (Q(""WindSpeed(mph)"") + Q(""Precipitation(in)""))**2"
weather_to_Severity_WindSpeed(mph)_weather_good,0.00021972846364437526,3,"Severity ~ (Q(""WindSpeed(mph)"") + weather_good)**2"
weather_to_Severity_WindSpeed(mph)_weather_bad,0.00021805001863550721,3,"Severity ~ (Q(""WindSpeed(mph)"") + weather_bad)**2"
weather_to_Severity_WindSpeed(mph)_weather_neutral,-3.7429850721082403e-06,1,"Severity ~ (Q(""WindSpeed(mph)"") + weather_neutral)**2"
weather_to_Severity_WindSpeed(mph)_weather_unknown,0.00013700758149481906,3,"Severity ~ (Q(""WindSpeed(mph)"") + weather_unknown)**2"
weather_to_Severity_Precipitation(in)_Temperature(F),0.0004128580931267445,2,"Severity ~ (Q(""Precipitation(in)"") + Q(""Temperature(F)""))**2"
weather_to_Severity_Precipitation(in)_WindChill(F),0.00025849418641354927,2,"Severity ~ (Q(""Precipitation(in)"") + Q(""WindChill(F)""))**2"
weather_to_Severity_Precipitation(in)_Humidity(%),0.0033463593714592177,2,"Severity ~ (Q(""Precipitation(in)"") + Q(""Humidity(%)""))**2"
weather_to_Severity_Precipitation(in)_Pressure(in),0.008131001997201182,4,"Severity ~ (Q(""Precipitation(in)"") + Q(""Pressure(in)""))**2"
weather_to_Severity_Precipitation(in)_WindSpeed(mph),0.0001516223652414661,2,"Severity ~ (Q(""Precipitation(in)"") + Q(""WindSpeed(mph)""))**2"
weather_to_Severity_Precipitation(in)_weather_good,0.0029145552809980435,2,"Severity ~ (Q(""Precipitation(in)"") + weather_good)**2"
weather_to_Severity_Precipitation(in)_weather_bad,0.005788038013533114,2,"Severity ~ (Q(""Precipitation(in)"") + weather_bad)**2"
weather_to_Severity_Precipitation(in)_weather_neutral,0.00021207037423542907,3,"Severity ~ (Q(""Precipitation(in)"") + weather_neutral)**2"
weather_to_Severity_Precipitation(in)_weather_unknown,4.906984796593239e-05,2,"Severity ~ (Q(""Precipitation(in)"") + weather_unknown)**2"
weather_to_Severity_weather_good_Temperature(F),0.0012111507344239048,3,"Severity ~ (weather_good + Q(""Temperature(F)""))**2"
weather_to_Severity_weather_good_WindChill(F),0.0040000247652401955,4,"Severity ~ (weather_good + Q(""WindChill(F)""))**2"
weather_to_Severity_weather_good_Humidity(%),0.0015913772886793076,3,"Severity ~ (weather_good + Q(""Humidity(%)""))**2"
weather_to_Severity_weather_good_Pressure(in),0.00013117881036861512,2,"Severity ~ (weather_good + Q(""Pressure(in)""))**2"
weather_to_Severity_weather_good_WindSpeed(mph),0.00021972846364437526,3,"Severity ~ (weather_good + Q(""WindSpeed(mph)""))**2"
weather_to_Severity_weather_good_Precipitation(in),0.0029145552809980435,2,"Severity ~ (weather_good + Q(""Precipitation(in)""))**2"
weather_to_Severity_weather_good_weather_bad,9.881911288278644e-05,2,Severity ~ (weather_good + weather_bad)**2
weather_to_Severity_weather_good_weather_neutral,0.0002082260286030424,3,Severity ~ (weather_good + weather_neutral)**2
weather_to_Severity_weather_good_weather_unknown,0.0003336245056395626,3,Severity ~ (weather_good + weather_unknown)**2
weather_to_Severity_weather_bad_Temperature(F),0.0009547114952510594,4,"Severity ~ (weather_bad + Q(""Temperature(F)""))**2"
weather_to_Severity_weather_bad_WindChill(F),0.003113392935765402,4,"Severity ~ (weather_bad + Q(""WindChill(F)""))**2"
weather_to_Severity_weather_bad_Humidity(%),0.0014907773240507849,2,"Severity ~ (weather_bad + Q(""Humidity(%)""))**2"
weather_to_Severity_weather_bad_Pressure(in),0.00011481980069405484,2,"Severity ~ (weather_bad + Q(""Pressure(in)""))**2"
