Fair
Clear
Mostly Cloudy
Partly Cloudy
Cloudy
Overcast
Light Snow
Scattered Clouds
Light Rain
NULL/MISSING
Snow
Haze
Fog
Rain
Fair / Windy
Heavy Snow
Mostly Cloudy / Windy
Heavy Rain
Light Drizzle
Cloudy / Windy
Light Snow / Windy
Wintry Mix
Partly Cloudy / Windy
T-Storm
Thunder in the Vicinity
Smoke
Light Rain with Thunder
Thunder
Light Freezing Rain
Heavy T-Storm
Light Thunderstorms and Rain
Thunderstorm
N/A Precipitation
Light Rain / Windy
Heavy Thunderstorms and Rain
Snow / Windy
Light Freezing Fog
Mist
Thunderstorms and Rain
Drizzle
Heavy Snow / Windy
Fog / Windy
Blowing Snow
Patches of Fog
Heavy T-Storm / Windy
Shallow Fog
Light Freezing Drizzle
Haze / Windy
Rain / Windy
Snow and Sleet
T-Storm / Windy
Showers in the Vicinity
Heavy Rain / Windy
Light Ice Pellets
Thunder / Windy
Light Snow and Sleet
Blowing Snow / Windy
Wintry Mix / Windy
Sleet
Ice Pellets
Light Sleet
Heavy Drizzle
Snow and Sleet / Windy
Freezing Rain
Drizzle and Fog
Light Rain Showers
Light Drizzle / Windy
Light Snow with Thunder
Widespread Dust
Light Freezing Rain / Windy
Light Rain Shower
Light Snow and Sleet / Windy
Light Snow Showers
Blowing Dust / Windy
Heavy Sleet
Rain Showers
Light Thunderstorms and Snow
Freezing Rain / Windy
Sleet / Windy
Heavy Blowing Snow
Smoke / Windy
Thunder / Wintry Mix
Squalls
Heavy Snow with Thunder
Heavy Ice Pellets
Small Hail
Blowing Dust
Heavy Thunderstorms and Snow
Light Sleet / Windy
Sleet and Thunder
Rain Shower
Hail
Snow Showers
Heavy Freezing Drizzle
Snow and Thunder
Sand / Dust Whirlwinds
Light Snow Shower
Freezing Drizzle
Heavy Freezing Rain
Funnel Cloud
Squalls / Windy
Snow and Thunder / Windy
Heavy Sleet and Thunder
Thunderstorms and Snow
Heavy Sleet / Windy
Low Drifting Snow
Light Blowing Snow
Drizzle / Windy
Light Hail
Thunder and Hail
Thunderstorms and Ice Pellets
Light Sleet and Thunder
Sand
Light Snow Grains
Heavy Rain Showers
Partial Fog
Light Rain Shower / Windy
Heavy Rain Shower
Heavy Thunderstorms with Ice Pellets
Snow Shower
Light Haze
Volcanic Ash
Thunder and Hail / Windy
Sandstorm
Drifting Snow
Light Snow Shower / Windy
Widespread Dust / Windy
Heavy Thunderstorms with Hail
Thunder / Wintry Mix / Windy
Rain / Freezing Rain
Mist / Windy
Tornado
Sand / Dust Whirls Nearby
Light Thunderstorm
Light Snow Grains / Windy
Heavy Snow Showers
Light Thunderstorms and Ice Pellets
Light Ice Pellet Showers
Light Fog
Heavy Thunderstorm
Heavy Thunderstorms with Small Hail
Dust Whirls
Rain Shower / Windy
Rain and Sleet
Blowing Snow Nearby / Windy
Snow Grains
Thunder and Small Hail
Blowing Snow Nearby
Light Thunderstorms with Small Hail
Rain and Snow / Windy
Blowing Sand
Sand / Dust Whirlwinds / Windy
Sleet and Thunder / Windy
Patches of Fog / Windy
Shallow Fog / Windy
Rain and Snow
Drizzle and Fog / Windy
Duststorm / Windy
Hail / Windy
Heavy Hail
Small Hail / Windy
Heavy Drizzle / Windy
Ice Crystals
Heavy Fog
Heavy Smoke
Thunderstorms with Hail
Light Thunderstorms with Hail
Low Drifting Sand / Windy
Drifting Snow / Windy
Light Smoke
Snow Shower / Windy
Blowing Sand / Windy
Thunderstorms with Small Hail
Low Drifting Dust / Windy
